127.0.0.1 - - [08/Jun/2022:20:21:46 +1000] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Jun/2022:20:21:47 +1000] "GET /crud/index.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [08/Jun/2022:20:21:47 +1000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jun/2022:20:22:04 +1000] "POST /crud/StudentController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:20:22:10 +1000] "GET /crud/show.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [08/Jun/2022:20:23:12 +1000] "GET /crud/index.jsp HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [08/Jun/2022:20:23:12 +1000] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Jun/2022:20:23:26 +1000] "POST /crud/StudentController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2022:20:23:26 +1000] "GET /crud/show.jsp HTTP/1.1" 200 1011
