0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:41:01 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13359
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:41:01 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13359
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13428
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/css/bootstrap.css HTTP/1.1" 200 192348
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/js/jquery-3.4.1.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/js/popper.min.js HTTP/1.1" 200 21257
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/css/style.css HTTP/1.1" 200 21918
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/css/responsive.css HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/js/bootstrap.js HTTP/1.1" 200 136797
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/js/custom.js HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/images/arrival-bg.png HTTP/1.1" 200 955039
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/images/logo.png HTTP/1.1" 200 13873
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13428
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:16 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13428
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:44:17 +1000] "GET /TempelateIntegrationProject/images/favicon.png HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/login.jsp HTTP/1.1" 200 13325
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/css/bootstrap.css HTTP/1.1" 200 192348
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/js/jquery-3.4.1.min.js HTTP/1.1" 200 88144
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/css/style.css HTTP/1.1" 200 21918
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/js/popper.min.js HTTP/1.1" 200 21257
0:0:0:0:0:0:0:1 - - [22/Jun/2022:18:48:26 +1000] "GET /TempelateIntegrationProject/css/responsive.css HTTP/1.1" 200 1798
